

Kategoria	                Kriteeri	                              Pisteet	    Tehty (✅/❌)	 Kommentti	 Saadut pisteet

Data ja entiteetit	        Yksi entiteetti + CRUD	                        1			
Data ja entiteetit	        Toinen entiteetti, 1:1 relaatio	                2			
Data ja entiteetit	        Kolmas entiteetti, 1:m relaatio	                3			
Data ja entiteetit	        Neljäs entiteetti, m:m relaatio	                4			
Data ja entiteetit	        Kaikille muokkaus ja poisto	                    5			✅          onnistuu

Suodattimet GRIDissä	    Suodatus yhdelle sarakkeelle	                1			
Suodattimet GRIDissä	    Suodatus kahdelle tai useammalle sarakkeelle	2			
Suodattimet GRIDissä	    Suodatus relaation kautta	                    3			
Suodattimet GRIDissä	    Neljäs hakuehto	                                4			
Suodattimet GRIDissä	    Viides hakuehto (lisäominaisuus)	            5			

Tyylit	                    Globaalien tyylien muutos	                    1			 ✅
Tyylit	                    Tyylin muokkaus komponenttikohtaisesti	        2            ✅        
Tyylit	                    Tyylin muokkaus näkymässä	                    3			 ✅        koti-viewissä .intro on muokattu
Tyylit	                    Lumo Utility-luokkien käyttö	                4			 ✅        Löytyy 
Tyylit	                    Kustomoitu tyylitiedosto	                    5			 ✅        Löytyy, custom.css, käytetty h2 muokkaus 

Ulkoasu (SPA)	            SPA-sovellus + päänäkymä	                    1			 ✅
Ulkoasu (SPA)	            Header	                                        2            ✅         Header, navbar, footer jaettu omiin komponentteihin
Ulkoasu (SPA)	            Navigointipalkki	                            3			 ✅
Ulkoasu (SPA)	            Footer	                                        4			 ✅         Oli vaikea saada asettumaan, mutta tyydyin toteutukseen
Ulkoasu (SPA)	            Kolme erityyppistä sisältösivua	                5			 ✅         Paikat, järjestäjä,, tapahtumat ja kirjautumis sivu + etusivu

Autentikointi ja tietoturva	Security-palikka käyttöön	                    1			 ✅         löytyy pom.xml luokasta
Autentikointi ja tietoturva	Kirjautumissivu	                                2			 ✅         LoginView löytyy
Autentikointi ja tietoturva	Käyttäjäentiteetti + roolit	                    3			
Autentikointi ja tietoturva	Käyttöoikeus näkymittäin (user/admin)	        4			
Autentikointi ja tietoturva	Kustomoitu virheilmoitus	                    5			

Lisätoiminnallisuudet	    Projekti GitHubiin	                            1			 ✅
Lisätoiminnallisuudet	    Salasanojen salaus	                            2			
Lisätoiminnallisuudet	    Server push toteutus	                        3			
Lisätoiminnallisuudet	    Lokalisointi yhdellä sivulla	                4			
Lisätoiminnallisuudet	    Docker-image	                                5			
Lisätoiminnallisuudet	    Docker Compose + tietokanta	                    6			

